job_name,company_name,request_culture,city,min_salary,max_salary,work_experience,recruit_num,publish_date,detail
大数据开发工程师,美的集团,本科,佛山-顺德区,20000,25000,8-9年经验,招若干人,01-29发布,"数据开发工程师 【美的集团---安得物流】 岗位职责： 1、负责公司大数据基础平台（ElasticSearch/Spark  streaming/Flink）的研发； 2、负责kafka,redis集群部署和优化； 3、参与海量数据处理和高性能分布式计算的架构设计，负责数据处理流程的设计和代码开发，撰写相关文档； 4、研究大数据技术领域最新进展，并应用到业务中。  任职要求： 1、本科及以上学历，计算机相关专业，三年以上相关工作经历； 2、熟悉Spark、kafka、Hive、HBase、zookeeper、HDFS、MR等大数据组件，具有相关系统的调优、运维、开发经验； 3、熟练掌握java,scala语言，熟悉并行计算或者分布式计算，理解RDD，MapReduce、HDFS原理； 4、熟悉linux开发环境；熟练掌握python、shell中的一种； 5、熟悉数据结构和算法。包括数组，链表，堆栈，队列，树，哈希表，集合等，而常见的算法包括排序，搜索，动态编程，递归等 6、有应用机器学习的经验：决策树，分类，逻辑回归，聚类等优先 6、负责或参与过大规模数据采集、分析平台软件的架构设计与开发者优先。

职能类别：大数据开发工程师
关键字：hadoop大数据开发大数据javaspark数据挖掘开发

微信分享"
大数据架构师,美的集团热水器事业部,本科,佛山,15000,20000,5-7年经验,招2人,12-07发布,"1、?参与智能家电大规模数据场景下的数据挖掘分析建模工作；?2、?参与智能家电机器学习产品的业务落地和挖掘价值实现；?3、?参与收集、评估和分析需求，负责数据挖掘方案的设计、实现和持续优化；?4、?负责智能家电大数据及数据挖掘应用技术研究、机器学习相关算法的研发工作；?5、?研究智能家电大数据体系结构、语义描述、模型和算法库、数据采集处理、大数据分析及预测等关键技术，研究决策分析模型和算法库，设计基于数据挖掘的解决方案。要求：1、?全日制本科或以上学历，数学、统计、计算机等相关专业，三年以上数据挖掘算法工作经验，有互联网、制造业背景优先；?2、?熟悉具体算法，如线性回归、决策树、集成学习、深度学习、推荐系统、文本挖掘等算法原理，熟练使用分类、回归、聚类、关联等机器学习工具解决业务问题；?3、?丰富的数据分析、挖掘、清洗和建模的经验，具有较强的数据整合、数据分析挖掘和解决业务问题的能力；?4、?熟练掌握至少一种高级语言编程技术，如Python、R、Java等；?5、?具备良好的沟通和自我驱动力，对业务有良好的数据化思维能力、抗压能力强；

职能类别：数据建模工程师数据采集工程师
关键字：大数据数据挖掘数据分析

微信分享"
大数据开发工程师,TCL金融控股集团,本科,惠州-惠城区,10000,15000,3-4年经验,招若干人,01-29发布,"1.基于海量数据，支持业务对数据的分析和使用2.数据产品的架构与实现，负责大数据分析需求设计和开发?，承担数据抽取、清洗、转换等数据处理应用的开发?3.负责数据流的优化和监控4.负责研究大数据前沿技术?，架构调整和性能调优?任职要求：1.3年以上工作经验，对分布式系统的基本原理和架构有充分了解，熟悉Hadoop及生态圈各类技术（Flink、Spark、Hadoop、Hive、Hbase、Elasticsearch、Mongo?DB、Cassandra等）等主流大数据技术2.深入理解Hadoop体系中MapReduce、Hive、Spark原理，具备丰富的性能调优经验3.了解JavaEE开源框架，Spring?Boot、Mybatis、Spring?Cloud等。

职能类别：大数据开发工程师

微信分享"
大数据开发工程师,中软国际科技服务有限公司,大专,佛山,12000,20000,2年经验,招3人,01-25发布,"技能要求：Hadoop，Hive，Spark，Python，大数据开发，数据加工技能要求：Hadoop，Hive，Spark岗位职责：1、负责大数据相关系统功能模块的需求分析和设计；2、负责大数据相关系统功能的技术实现，核心代码开发及日常维护工作；3、应用大数据、数据挖掘、分析建模等技术，对海量数据进行分析挖掘；4、负责大数据平台的技术更新，编撰技术规范；5、负责系统的问题分析和改进、优化系统性能、保障系统稳定性任职要求：1、计算机、数学、统计学、信息系统等相关专业，具有2-4年以上软件开发经验；2、精通Hive，Spark，ElasticSearch，Kafka，Storm等大数据技术；3、精通Oracle、MySQL等数据库的开发和优化，熟悉Hive SQL开发；4、熟悉SAS、Python的开发使用；5、具备较好的沟通能力与创新能力，具备较强的独立分析问题及解决问题能力，有钻研精神，有责任感和主动担当意识。

职能类别：Hadoop工程师大数据开发工程师
关键字：大数据hadoop大数据开发HiveSparkPython数据加工

微信分享"
大数据基础技术高级工程师,广发银行股份有限公司,本科,佛山-南海区,20000,40000,5-7年经验,招若干人,12-08发布,"工作职责：1、负责大数据集群运维管理，以及数据总线、流计算平台、离线计算平台、分布式数据库的开发运维管理等工作，保障集群稳健运行；?2、负责集群容量规划，架构审核，能解决高难度的故障隐患、疑难杂症。在性能优化时，负责攻克大数据量，高并发，高稳定性，易用性等各种技术难点；?3、研究与跟踪大数据基础新技术发展方向，并能在团队内进行推广应用。任职要求：1、本科及以上学历，5年以上工作经验；?2、 精通java开发技术，对JVM性能调优有较深刻的理解，具备丰富的java程序故障分析经验；?3、 精通Hadoop生态圈，掌握数据存储Hadoop、HBase、HDFS，数据收集Kafka、Flume、Canal、LogStash，分析计算Spark、Hive、presto，实时计算Flink、Storm，数据索引ES等大数据基础软件的环境搭建技术，能解决环境搭建过程中的问题；?4、 具备生产环境快速trouble-shooting能力，能解决大数据基础环境中出现的疑难杂症，能进行基础环境的参数调优，具备阅读源码解决环境问题能力者优先，开源项目commiter或贡献过patch 者更佳。

职能类别：大数据开发工程师Hadoop工程师
关键字：大数据hadoopjavaspark

微信分享"
大数据讲师,青软创新科技集团股份有限公司,本科,中山,10000,20000,3-4年经验,招2人,01-29发布,"1、本科及以上学历，三年及以上大数据开发经验；2、熟悉Linux操作系统，掌握Shell/Perl至少一种脚本语言；3、熟练掌握Java或Python语言，具备分布式程序设计的基本能力；4、熟悉主流大数据框架原理，掌握Hadoop、Hive、HBase、Zookeeper集群搭建，调优，开发；5、熟悉常用实时处理框架Spark、Kafka、Flume原理及开发过程?6、精通SQL语言，熟悉MySQL、Oracle等关系型数据库者优先；7、精通数据仓库技术，熟练使用常见的ETL工具8、有院校、培训机构授课经验者优先。

职能类别：培训讲师
关键字：大数据讲师培训讲师

微信分享"
大数据运维工程师,东方通信股份有限公司,本科,杭州-滨江区,8000,15000,3-4年经验,招1人,01-29发布,"1、计算机或者相关专业;三年以上大数据平台维护经验； 2、熟悉linux系统，运维体系结构，精于容量规划、架构设计、性能优化，能够独立解决系统问题; 3、具备一定的开发能力，精通一门以上脚本语言(shell/perl/python等)，熟悉java等; 4、熟悉大数据生态系统，对hdfs、yarn、mr有深入了解，熟悉hive、hbase、zk、kafka、spark 等 5、熟悉Hadoop生态常用开源项目的部署升级、扩容缩容、性能和管理优化、问题排查等（主要包括Hadoop/Zookeeper/HBase/Hive/Kafka/Flume/Sqoop/Storm/Flink等）； 6、熟悉JVM，熟悉大数据周边并有实践经验者优先（主要包括数据系统:MySQL，Redis,Elasticsearch，Nginx等）；7、能够承受较大的工作压力，以结果和行动为准则，努力追求成功，沟通能力较好。 职责: 负责大数据集群的维护; 负责集群迁移、扩容、升级部署; 组织相关运维功能框架功能编写; 组织和实施产品、项目的实际运维工作; 具有一定的代码能力能够实现自动化运维相关内容； 保证整个运维自动化过程可控，保证最终结果达到严谨、科学。

职能类别：运维工程师
关键字：大数据运维hadoophbasehdfsyarn

微信分享"
Splunk实施工程师（大数据、安全）,精诚瑞宝计算机系统有限公司,大专,佛山-南海区,8000,16000,2年经验,招1人,01-29发布,"【此岗位需要在客户现场长期驻点进行项目实施，介意勿投！】岗位职责：1.负责大数据监控分析项目的项目管理和统筹，参与实施开发过程2.使用商业化大数据平台(SPLUNK)或者开源大数据框架平台基础上，在IT运维和安全分析维度上帮助客户落地平台，在平台上接入日志，提取日志，分析日志等工作任职要求：1.能准确把握项目目标、任务、质量、时间及风险，能组织大型项目开发和实施2.具有很强的分析判断和理解沟通能力，有强烈的事业心和责任感，能承受巨大工作压力3.了解Linux系统，熟悉Linux常用命令，能够进行Shell编程4.了解Java/Python/Html/Javascript/.NET中的一种或多种5.具备良好的沟通、学习能力和团队合作精神6.这个岗位需要基础技术能力、良好沟通能力和优秀学习能力7.了解大数据框架及实施流程，会使用Splunk、ELK、Spark等大数据平台工具优先

职能类别：ERP实施顾问高级软件工程师
关键字：splunk实施顾问linux

微信分享"
大数据分析工程师,惠州亿纬锂能股份有限公司,本科,惠州,8000,16000,2年经验,招若干人,01-29发布,"任职要求：1、本科及以上学历，2年以上数据处理经验；2、熟悉IATF16949体系，了解5大工具者优先；3、练掌握Office等办公软件；4、对电芯有一定的了解，对BMS算法有一定了解者优先；5、有大数据运维的相关经验；6、熟悉数据仓库和数据建模的相关技术细节，有SQL数据独立提取能力。岗位职责：1、结合车辆数据，定期整理和汇报车辆运营情况，如电流工况分布、温度分布等；2、结合电芯、模组、系统数据，分析和统计车辆衰减及一致性差异，指导售后提前进行异常车辆处理工作；3、结合电芯数据和BMS相关算法，对后台进行相应的数据研究和算法开发及优化工作；4、对大数据后台进行相应的运维工作。

职能类别：大数据开发工程师FAE 现场应用工程师
关键字：16949体系BMS算法大数据电芯电池模组

微信分享"
产品经理（大数据）,广东东华发思特软件有限公司,,珠海-横琴新区,15000,20000,,3-4年经验,本科,"岗位职责：1、?负责行业需求采集，分析和版本规划，推动产品的设计和实现2、?负责大型项目咨询，规划和方案设计、帮助客户提炼需求，完善产品功能设计。3、?负责重点项目的进度管理，包括：与开发团队、UI/UE设计团队、测试团队沟通讨论，以及产品关键里程碑的进度跟踪4、?负责跟踪行业动态，捕捉行业风口或新机会点，提升产品价值，推动产品创新。岗位要求：1、?至少全程参与规划设计过一个政企行业产品并担任关键岗位，2年以上互联网产品管理相关经验。2、?熟练运用Axure工具或者3年以上需求管理经验者有限。3、?有较好的数据分析能力和产品意识，有一定的商业和市场意识，能体系化地推进各项工作开展。4、?有非常强的事业心、责任感和担当精神，有较强的抗压能力，能并行处理多个项目工作，能承受一定程度的出差或驻场工作。

职能类别：产品经理/主管
关键字：智慧城市大数据

微信分享"
