book_name,author,publish,publish_author,translator,page,price,decoration,ISBN,average_rate
活着,余华,作家出版社,,,191,20.00元,平装,9787506365437,9.4
白夜行,[日] 东野圭吾,南海出版公司,新经典文化,刘姿君,538,39.50元,精装,9787544258609,9.1
夜晚的潜水艇,陈春成,上海三联书店,理想国,,224,52,精装,9787542669964,8.5
红楼梦,[清] 曹雪芹 著,人民文学出版社,,,1606,59.70元,平装,9787020002207,9.6
文城,余华,北京十月文艺出版社,新经典文化,,348,59.00元,精装,9787530221099,7.8
房思琪的初恋乐园,林奕含,北京联合出版公司,磨铁图书,,272,45.00元,平装,9787559614636,9.2
小王子,"[法]
            安东尼·德·圣-埃克苏佩里",人民文学出版社,,马振聘,97,22.00元,平装,9787020042494,9.0
百年孤独,"[哥伦比亚]
            加西亚·马尔克斯",南海出版公司,新经典文化,范晔,360,39.50元,精装,9787544253994,9.3
解忧杂货店,"[日本]
            东野圭吾",南海出版公司,新经典文化,李盈春,291,39.50元,精装,9787544270878,8.5
追风筝的人,"[美]
            卡勒德·胡赛尼",上海人民出版社,世纪文景,李继宏,362,29.00元,平装,9787208061644,8.9
暗夜与黎明,[英] 肯·福莱特,江苏凤凰文艺出版社,,邓若虚,960,118.00元,平装,9787559454935,8.1
1984,"[英]
            乔治·奥威尔",北京十月文艺出版社,新经典文化,刘绍铭,304,28.00,精装,9787530210291,9.3
杀死一只知更鸟,"[美国]
            哈珀·李",译林出版社,,高红梅,346,32.00元,精装,9787544722766,9.2
许三观卖血记,余华,作家出版社,,,264,24.00元,平装,9787506365680,9.0
三体全集,刘慈欣,重庆出版社,科幻世界,,1285,168.00元,精装,9787229042066,9.4
局外人,"[法]
            阿尔贝·加缪",上海译文出版社,,柳鸣九,128,22.00元,精装,9787532751471,9.0
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,新经典文化,杨玲,401,39.50元,精装,9787544258975,9.0
三体,刘慈欣,重庆出版社,科幻世界,,302,23.00,平装,9787536692930,8.8
蛤蟆先生去看心理医生,【英】罗伯特·戴博德,天津人民出版社,果麦文化,陈赢,208,38.00元,平装,9787201161693,8.7
绝叫,[日] 叶真中显,北京联合出版公司,联合读创,林佩瑾,461,58.00,平装,9787559641182,8.7
人生海海,麦家,北京十月文艺出版社,新经典文化,,345,55.00元,精装,9787530219218,8.1
云边有个小卖部,张嘉佳,湖南文艺出版社,博集天卷,,328,42.00元,平装,9787540487645,7.6
月亮与六便士,[英] 威廉·萨默塞特·毛姆,浙江文艺出版社,大星文化,徐淳刚,304,39.80元,平装,9787533936020,8.8
围城,钱钟书,人民文学出版社,,,362,39.00元,精装,9787020090006,9.3
默读,Priest,百花洲文艺出版社,,,344,45.00,平装,9787550025103,8.3
两京十五日,马伯庸,湖南文艺出版社,博集天卷,,584,108.00元,平装,9787540496715,8.1
马可瓦尔多,[意] 伊塔洛·卡尔维诺,译林出版社,,马小漠,160,42.00元,精装,9787544779470,9.0
平凡的世界（全三部）,路遥,人民文学出版社,,,1631,64.00元,平装,9787020049295,9.0
生吞,郑执,浙江文艺出版社,,,288,39.00,平装,9787533950057,8.0
回归故里,[法]迪迪埃·埃里蓬,上海文化出版社,后浪,王献,184,48.00元,精装,9787553518510,8.9
嫌疑人X的献身,"[日本]
            东野圭吾",南海出版公司,新经典文化,刘子倩,251,28.00,精装,9787544241694,8.9
围城,钱钟书,人民文学出版社,,,359,19.00,平装,9787020024759,8.9
飘,"[美国]
            玛格丽特·米切尔",译林出版社,,李美华,1235,40.00元,精装,9787806570920,9.3
白鹿原,陈忠实,人民文学出版社,,,697,39.00元,精装,9787020090297,9.2
烧纸,[韩] 李沧东,武汉大学出版社,鹿书deerbook,金冉,320,58.00,平装,9787307207004,8.6
克拉拉与太阳,[英] 石黑一雄,上海译文出版社,,宋佥,392,68.00,精装,9787532786831,8.4
斯通纳,[美] 约翰·威廉斯,上海人民出版社,世纪文景,杨向荣,336,49.00元,精装,9787208130500,8.8
恶意,"[日本]
            东野圭吾",南海出版公司,新经典文化,娄美莲,268,39.50元,精装,9787544285148,8.7
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯,广西师范大学出版社,理想国,陈澄和,288,36.00元,平装,9787549565115,9.1
我的天才女友,"[意大利]
            埃莱娜·费兰特",人民文学出版社,99读书人,陈英,330,42.00元,平装,9787020120130,8.6
月亮和六便士,"[英]
            威廉·萨默塞特·毛姆",上海译文出版社,,傅惟慈,275,15.00元,平装,9787532739547,9.0
鼠疫,(法)阿尔贝·加缪,上海译文出版社,,刘方,273,34.00元,,9787532761753,9.0
美丽新世界,[英] 赫胥黎,上海译文出版社,,陈超,360,45.00元,精装,9787532774685,9.1
飞行家,双雪涛,广西师范大学出版社,理想国,,307,45.00元,精装,9787549599349,8.1
牧羊少年奇幻之旅,[巴西] 保罗·柯艾略,南海出版公司,新经典文化,丁文林,217,25.00元,精装,9787544244190,8.5
动物农场,"[英]
            乔治·奥威尔",上海译文出版社,,荣如德,119,10.00元,平装,9787532741854,9.2
平凡的世界,路遥,北京十月文艺出版社,,,1251,CNY 79.80,平装,9787530212004,9.0
明朝那些事儿（1-9）,当年明月,中国海关出版社,磨铁图书,,,358.20元,精装16开,9787801656087,9.1
骆驼祥子,老舍,人民文学出版社,,,224,12.00,平装,9787020028115,8.4
银河系边缘的小失常,[以色列] 埃特加·凯雷特,浦睿文化·湖南文艺出版社,浦睿文化,方铁,232,49.00元,平装,9787540489502,8.1
光明共和国,[西]安德烈斯·巴尔瓦,广西师范大学出版社,理想国,蔡学娣,188,46,精装,9787559826398,8.7
杀死一只知更鸟,"[美国]
            哈珀·李",译林出版社,,李育超,442,48.00,精装,9787544766500,9.3
野猪渡河,张贵兴,后浪丨四川人民出版社,后浪,,416,58.00元,平装,9787220119859,8.8
边城,沈从文,北岳文艺出版社,,,174,12.00元,平装,9787537823425,8.7
82年生的金智英,[韩]赵南柱,贵州人民出版社,磨铁·大鱼读品,尹嘉玄,200,45.00元,平装,9787221153159,7.9
一句顶一万句,刘震云,长江文艺出版社,长江新世纪,,362,29.80,精装,9787535439765,8.7
候场,李诞,上海文艺出版社,,,216,42,精装,9787532178018,7.6
盗墓笔记,南派三叔,上海文化出版社,,,2441,295.20,,9787807407904,8.5
糜骨之壤,[波] 奥尔加·托卡尔丘克,浙江文艺出版社,可以文化,何娟,331,56.00元,平装,9787533962968,8.2
基督山伯爵,大仲马,上海译文出版社,,周克希,1453,43.90元,精装,9787532712243,9.0
遥远的救世主,豆豆,作家出版社,,,592,28.00,平装,9787506331746,8.7
树上的男爵,[意] 伊塔洛·卡尔维诺,译林出版社,,吴正仪,280,30.00元,精装,9787544722803,9.1
黄金时代,王小波,花城出版社,,,375,19.00元,平装,9787536025080,8.9
晚婚,辽京,中信出版集团,中信·春潮,,,49.80,平装,9787521725353,7.3
三体Ⅱ,刘慈欣,重庆出版社,科幻世界,,470,32.00,平装,9787536693968,9.3
呐喊,鲁迅,人民文学出版社,,,160,0.36元,平装,,9.0
巨人的陨落,[英] 肯·福莱特,江苏凤凰文艺出版社,读客文化,于大卫,1168,129.80元,平装,9787539989891,8.9
嫌疑人X的献身,[日]东野圭吾,南海出版公司,新经典文化,刘子倩,256,35.00元,精装,9787544267618,9.0
人间失格,太宰治,吉林出版集团有限责任公司,,许时嘉,168,16.00元,平装,9787546302393,8.3
傲慢与偏见,"[英]
            简·奥斯汀",人民文学出版社,,张玲,310,13.00元,平装,9787020040179,8.9
寂寞的游戏,袁哲生,北京联合出版公司,后浪,,248,38.00元,平装,9787559604170,8.4
怪诞故事集,[波兰] 奥尔加·托卡尔丘克,浙江文艺出版社,可以文化,李怡楠,244,45.00元,平装,9787533960759,8.1
金色梦乡,"[日]
            伊坂幸太郎",南海出版公司,新经典文化,代珂,512,49.50元,精装,9787544285025,8.9
天涯客（下册）,Priest,蘊藏文化股份有限公司,,,317,NTD 240,平装,9789868959484,7.9
无声告白,[美] 伍绮诗,江苏凤凰文艺出版社,读客文化,孙璐,296,35.00元,平装,9787539982830,8.2
恶意,"[日本]
            东野圭吾",南海出版公司,新经典文化,娄美莲,264,18.00,平装,9787544244428,8.5
长夜难明,紫金陈,云南人民出版社,浦睿文化,,288,42.00元,平装,9787222143975,8.5
城南旧事,林海音,中国青年出版社,,,198,16.00元,平装,9787500652045,9.0
挪威的森林,"[日]
            村上春树",上海译文出版社,,林少华,350,18.80元,平装,9787532725694,8.0
往复书简：初恋与不伦,[日] 坂元裕二,北京联合出版公司,一頁folio,蕾克,188,42.00,平装,9787559639301,8.4
夜行货车,陈映真,九州出版社,理想国,,420,76,精装,9787510884238,9.0
正常人,[爱尔兰] 萨莉·鲁尼,上海译文出版社,群岛图书,钟娜,260,49.80元,平装,9787532784301,8.1
鸳鸯六七四,马家辉,花城出版社,青马文化,,400,59.00元,平装,9787536091689,8.3
山茶文具店,[日] 小川糸,湖南文艺出版社,,王蕴洁,320,49.80,精装,9787540485337,8.3
失踪的孩子,[意] 埃莱娜·费兰特,人民文学出版社,99读书人,陈英,480,62.00元,平装,9787020139927,9.2
四世同堂,老舍,北京十月文艺出版社,新经典文化,,590,36.00元,精装,9787530209226,9.3
许三观卖血记,余华,南海出版公司,,,269,16.80元,平装,9787544211765,8.8
刀锋,[英]毛姆,上海译文出版社,,周煦良,318,18.00元,平装,9787532741922,9.0
记忆记忆,[俄] 玛丽亚·斯捷潘诺娃,中信出版集团,大方,李春雨,432,78.00,平装,9787521720884,8.5
三国演义（全二册）,罗贯中,人民文学出版社,,,990,39.50元,平装,9787020008728,9.3
新名字的故事,"[意大利]
            埃莱娜·费兰特",人民文学出版社,99读书人,陈英,492,59.00元,平装,9787020125265,9.1
福尔摩斯探案全集（上中下）,"[英]
            阿瑟·柯南·道尔",群众出版社,,丁钟华 等,531；706；583,53.00元/68.00元,平装/精装,9787501408580,9.3
风声,麦家,上海文艺出版社,读客文化,,374,59.90,精装,9787532177721,8.6
流金岁月,"[加拿大]
            亦舒",海天出版社,,,192,9.80元,平装,9787806154441,8.3
